GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
8600000US01420,1420,ZCTA5 01420,21348,673,11347,509,10001,465,27127,1085,31167,1585,25006,1793,12004,582,6769,517,5235,381,2.1,1.1,2,1,2.3,2.1,3.6,1.2,3.8,1.5,3.3,1.6,11.4,2.3,9.7,3.2,13.6,2.9,18.2,2.6,17,3.8,19.9,4.4,22.4,2.5,20.2,3.3,25.1,3.9,18.7,2.4,18.8,3.4,18.6,3.7,9.7,2,10.1,2.5,9.2,2.5,7.6,1.6,9.7,2.4,4.9,2.1,6.3,1.4,8.6,2,3.2,1.4,(X),(X),45947,4277,40805,3050,49743,2142,54031,3011,44200,2274,35821,1972,39460,2291,31089,2166,25843,1922,27829,4798,25056,4397,30987,2640,34963,3169,24742,1794,32420,4993,38241,7154,31115,2372,50310,6811,66078,4198,37202,6488,61667,9810,70144,24211,60573,9997,23,(X),(X),(X),(X),(X)
8600000US01430,1430,ZCTA5 01430,3655,261,1882,203,1773,191,45948,7582,51875,12511,40654,3899,2151,290,1337,183,814,181,0.7,1.1,0,2.4,1.7,3,0.7,1.2,1.1,1.9,0,3.9,4.6,3.1,4.1,3.7,5.3,5.1,4.6,4,1.1,1.8,10.3,9,20.8,6.3,21.5,8.5,19.5,10,14.3,5.8,13.6,7.7,15.4,7.7,12.9,5.8,7.3,5,22.1,12,15,5.4,22.3,7.9,2.9,3.7,26.5,9.2,28.9,10,22.7,11.6,(X),(X),76938,18539,62234,13142,75530,6810,79939,6709,68289,10485,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X)
8600000US01431,1431,ZCTA5 01431,1847,110,1003,89,844,75,35532,3366,44792,6834,24634,4662,979,100,657,66,322,70,2.7,3.5,0,4.8,8.1,10.5,1.6,1.4,1.8,2,1.2,1.7,3.8,2.3,4.7,3.2,1.9,3,8.1,3.1,7,4.3,10.2,6.3,29.7,6.9,26.2,8.8,37,12.5,15.8,5.3,19.2,7.9,9,5.1,8.5,4,5.8,3.6,14,9.4,17.1,4.7,21.2,7.5,8.7,5.7,12.8,4.6,14.2,5.8,9.9,7.5,(X),(X),58854,6951,44167,9415,62299,5219,66773,5768,53169,8623,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.5,(X),(X),(X),(X),(X)
8600000US01432,1432,ZCTA5 01432,4587,279,2400,236,2187,179,45853,5924,50423,6483,40151,12275,3020,274,1741,220,1279,214,0,1.1,0,1.8,0,2.5,0,1.1,0,1.8,0,2.5,7.3,4.4,3.7,2.9,12.1,8.4,10.9,5.5,10.9,8.2,10.9,7.6,14.9,5.3,18,7.2,10.6,6,17.6,5.2,15.5,7.1,20.5,8.7,7.8,3.4,9.4,5.1,5.6,4.2,22,6,17.2,6.6,28.5,11,19.6,5,25.4,6.9,11.8,6.9,(X),(X),(X),(X),(X),(X),73565,6643,81090,9266,63321,6739,50885,7302,54688,10795,42909,9290,24893,7587,50357,42755,19669,6841,31058,12748,37448,8022,19824,10769,48750,7770,51186,6490,42188,24615,63846,18700,76442,17575,53803,8683,82578,18124,88409,15531,81250,19907,16.4,(X),(X),(X),(X),(X)
8600000US01434,1434,ZCTA5 01434,695,227,551,176,144,75,21354,8390,15547,14457,38500,26826,375,140,266,89,109,77,8.3,7.6,11.7,11.3,0,25.3,9.3,9.1,13.2,12.3,0,25.3,9.6,13.5,0,11.5,33,39.2,13.1,10.7,18.4,14.4,0,25.3,16.3,11.7,10.2,10.4,31.2,28.7,24.5,11.7,31.2,18.1,8.3,14.6,1.1,2,1.5,2.8,0,25.3,13.1,11.3,10.5,9.3,19.3,29.7,4.8,4.9,3.4,5.2,8.3,14,(X),(X),(X),(X),(X),(X),49887,12039,48215,13633,53965,26191,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),47.5,(X),(X),(X),(X),(X)
8600000US01436,1436,ZCTA5 01436,2013,303,1062,182,951,198,33717,7794,52976,20506,26238,6072,1102,246,694,145,408,144,2.6,3.5,4.2,5.4,0,7.7,1.5,2.7,2.4,4.2,0,7.7,2.8,3.2,1.9,2.9,4.4,7.3,17.3,7.9,5.9,6.7,36.8,18.5,24.6,8.8,16.4,10.2,38.5,18,16.5,9.2,20,13.8,10.5,11,8.3,6.4,13.3,10,0,7.7,14.7,9.2,23.3,15.1,0,7.7,11.5,8.6,12.5,12.1,9.8,13.1,(X),(X),62361,11377,37671,5553,56346,6269,63867,8601,43553,11245,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X),(X),(X),(X),(X)
8600000US01438,1438,ZCTA5 01438,171,119,41,43,130,97,(X),(X),(X),(X),(X),(X),59,45,40,43,19,32,0,38.6,0,46.9,0,68,0,38.6,0,46.9,0,68,0,38.6,0,46.9,0,68,0,38.6,0,46.9,0,68,33.9,52.9,2.5,6.7,100,68,35.6,44.2,52.5,52.5,0,68,0,38.6,0,46.9,0,68,0,38.6,0,46.9,0,68,30.5,49.1,45,55,0,68,(X),(X),(X),(X),(X),(X),N,N,N,N,N,N,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X)
8600000US01440,1440,ZCTA5 01440,9964,460,5290,374,4674,300,30541,1254,32379,5037,29058,3181,5497,416,3162,320,2335,280,0.6,0.6,1.1,1.1,0,1.4,3.6,2,2,1.2,5.8,4.2,8.5,2.4,7.8,3,9.5,3.7,18.5,3.8,12.4,3.7,26.7,6.6,30.2,4.8,29.7,5.9,31,7,17.3,3.3,18.3,4.3,15.9,4.7,5.9,2.3,7.9,3.4,3.3,1.9,10.6,2.6,14.9,4.1,4.7,2.6,4.7,1.8,5.9,2.4,3,2,(X),(X),48750,2522,37091,1913,51813,3911,56962,4661,44839,5671,33539,3325,40189,2741,30973,1043,25889,4324,24207,9218,28009,9903,31481,2688,36458,5926,22522,5673,31932,1176,41511,5518,30771,1099,43088,5051,52292,17584,41579,2765,54762,9445,65208,17814,46961,9557,17.6,(X),(X),(X),(X),(X)
8600000US01450,1450,ZCTA5 01450,6297,326,3512,260,2785,271,63902,6293,76125,18617,46763,12026,3903,266,2587,176,1316,215,1.6,1.4,1.3,1.5,2.2,2.6,0,0.8,0,1.2,0,2.4,3.3,2.1,4.6,3.1,0.7,1,4.4,2.2,3.2,2.4,6.7,4.6,7.4,2.9,4.8,3,12.4,6.3,13.1,4.1,10.6,3.7,18.2,8.6,12.8,5.4,10.6,4.6,17.3,9.8,13.3,3.7,12.6,4,14.6,6.6,44.1,5.3,52.3,6.6,28,7.4,(X),(X),102156,7057,70602,8214,110149,9427,118412,12261,93906,11689,70271,4418,92941,10668,55913,10991,-,**,-,**,-,**,42005,9696,50625,6889,32250,12838,37022,16759,50257,22857,32088,12736,74663,12973,99448,10041,56316,15486,102589,18097,127847,16108,76000,7160,12.1,(X),(X),(X),(X),(X)
8600000US01451,1451,ZCTA5 01451,2607,269,1441,201,1166,145,60855,6868,88125,21066,45278,10195,1553,203,919,168,634,118,0,2.1,0,3.5,0,5,1,1.1,1,1.5,1.1,1.6,6.2,3.7,3.7,2.9,9.8,8.5,8.2,4.7,7.5,7,9.1,5.5,5.5,2.3,1.6,1.8,11,5.8,12,4.2,10.2,5.6,14.7,7.9,6,3.5,0.9,1.4,13.4,8.1,10.8,4,10.8,5.4,10.9,6.2,50.3,7.8,64.3,10.7,30,10.5,(X),(X),(X),(X),(X),(X),125110,15328,156143,25303,80128,11716,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.1,(X),(X),(X),(X),(X)
